ENSG00000001167.14	NFYA
ENSG00000005801.17	ZNF195
ENSG00000005889.15	ZFX
ENSG00000006194.9	ZNF263
ENSG00000006468.13	ETV1
ENSG00000007372.22	PAX6
ENSG00000007866.20	TEAD3
ENSG00000009709.11	PAX7
ENSG00000010244.18	ZNF207
ENSG00000011332.19	DPF1
ENSG00000016082.14	ISL1
ENSG00000018869.16	ZNF582
ENSG00000019549.11	SNAI2
ENSG00000020256.19	ZFP64
ENSG00000020633.18	RUNX3
ENSG00000025293.16	PHF20
ENSG00000025434.18	NR1H3
ENSG00000028277.21	POU2F2
ENSG00000030419.16	IKZF2
ENSG00000036549.12	ZZZ3
ENSG00000043355.11	ZIC2
ENSG00000056277.15	ZNF280C
ENSG00000057657.16	PRDM1
ENSG00000060138.12	YBX3
ENSG00000061455.10	PRDM6
ENSG00000062370.16	ZNF112
ENSG00000063438.16	AHRR
ENSG00000065029.14	ZNF76
ENSG00000065970.8	FOXJ2
ENSG00000065978.18	YBX1
ENSG00000066136.20	NFYC
ENSG00000066336.11	SPI1
ENSG00000066422.4	ZBTB11
ENSG00000067082.14	KLF6
ENSG00000068305.17	MEF2A
ENSG00000068323.16	TFE3
ENSG00000070444.14	MNT
ENSG00000070476.14	ZXDC
ENSG00000071564.14	TCF3
ENSG00000071655.17	MBD3
ENSG00000072310.16	SREBF1
ENSG00000072736.18	NFATC3
ENSG00000073282.12	TP63
ENSG00000073861.2	TBX21
ENSG00000074047.21	GLI2
ENSG00000074219.13	TEAD2
ENSG00000074657.13	ZNF532
ENSG00000075407.18	ZNF37A
ENSG00000075426.11	FOSL2
ENSG00000077150.18	NFKB2
ENSG00000078399.17	HOXA9
ENSG00000078900.14	TP73
ENSG00000079263.18	SP140
ENSG00000080298.15	RFX3
ENSG00000081059.19	TCF7
ENSG00000081189.15	MEF2C
ENSG00000081386.12	ZNF510
ENSG00000081665.13	ZNF506
ENSG00000082175.14	PGR
ENSG00000082641.15	NFE2L1
ENSG00000083307.11	GRHL2
ENSG00000083812.11	ZNF324
ENSG00000083814.13	ZNF671
ENSG00000083817.8	ZNF416
ENSG00000083828.15	ZNF586
ENSG00000083844.10	ZNF264
ENSG00000084093.16	REST
ENSG00000084676.15	NCOA1
ENSG00000085274.15	MYNN
ENSG00000085276.17	MECOM
ENSG00000085644.13	ZNF213
ENSG00000087510.6	TFAP2C
ENSG00000087903.12	RFX2
ENSG00000088876.11	ZNF343
ENSG00000089225.19	TBX5
